LOGIN 1
Performance

Total Time Taken:1740
Class Name,API,Time Taken(ms),Api Category,Caller Stack
com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation,transactionalOperation,13,CACHE,com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation.transactionalOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.executeOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.persistServiceTicket
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,update,13,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.update->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,7,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.sendEvent->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.lambda$persist$8
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,5,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.sendEvent->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.lambda$update$15
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,5,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.sendEvent->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.lambda$persist$8
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,fetchCacheEntity,4,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.filter.ui.RequestDataMappingStorage.fetchRequestData->com.eqtechnologic.eqube.security.client.filter.ui.RequestDataMappingStorage.getRequestData
com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation,transactionalOperation,4,CACHE,com.eqtechnologic.eqube.security.cache.transaction.CacheTransactionalOperation.transactionalOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.executeOperation->com.eqtechnologic.eqube.security.service.data.TicketCacheWithIgnite.updateTicketGrantingTicket
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,isValidTGT,3,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.TGTCheckStep.execute->com.eqtechnologic.eqube.security.client.webflow.action.AbstractAction.validTGTExistsCheck
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,validateDOSPolicy,3,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.action.ValidateDOSPolicyStep.validateDOSPolicy->com.eqtechnologic.eqube.security.client.webflow.action.ValidateDOSPolicyStep.execute
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetchUserForAuthentication,2,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.authentication.handlers.AbstractAuthenticationHandler.getUser->com.eqtechnologic.eqube.security.service.central.authentication.handlers.db.DatabaseAuthenticationHandler.doAuthentication
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,2,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.central.services.audit.AuditLogger.logAudit->com.eqtechnologic.eqube.security.service.central.services.audit.AuditLogger.auditTrail
com.eqtechnologic.eqube.security.service.central.EmbeddedDataService,fetch,2,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.getServiceAccessInfo->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.updateLastServiceAccessedTime
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,2,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.updateServiceAccessInfo->com.eqtechnologic.eqube.security.service.central.DefaultAuthorizationHandler.updateLastServiceAccessedTime
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,2,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.sendEvent->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.lambda$update$15
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,1,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchInternal->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetch,1,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.authentication.AuthenticationManagerImpl.fetchUserInfoIfNull->com.eqtechnologic.eqube.security.service.central.authentication.AuthenticationManagerImpl.resolveAuthentication
